# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3800, i.e. number of multipoles equal to 3799
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               phiphi           Tphi             
  94 2.4213256066e-10 7.6407502545e-12 1.0926127326e-12
  95 2.4513516315e-10 7.4360755386e-12 1.0708609167e-12
  96 2.4815890206e-10 7.2378896802e-12 1.0495826790e-12
  97 2.5120368453e-10 7.0462378399e-12 1.0287830628e-12
  98 2.5426930473e-10 6.8611105803e-12 1.0084617589e-12
  99 2.5735543912e-10 6.6824418072e-12 9.8861289991e-13
 100 2.6046164167e-10 6.5101067118e-12 9.6922485355e-13
 101 2.6358733910e-10 6.3439197123e-12 9.5028001640e-13
 102 2.6673182611e-10 6.1836323958e-12 9.3175460758e-13
 103 2.6989426062e-10 6.0289314599e-12 9.1361846234e-13
 104 2.7307365897e-10 5.8794366547e-12 8.9583482581e-13
 105 2.7626889120e-10 5.7346987248e-12 8.7836014656e-13
 106 2.7947867623e-10 5.5941973504e-12 8.6114387032e-13
 107 2.8270182648e-10 5.4574605549e-12 8.4414299964e-13
 108 2.8593802832e-10 5.3244452034e-12 8.2736839360e-13
 109 2.8918715579e-10 5.1952029032e-12 8.1084419644e-13
 110 2.9244902819e-10 5.0697622199e-12 7.9459356284e-13
 111 2.9572340799e-10 4.9481278798e-12 7.7863860491e-13
 112 2.9900999860e-10 4.8302799737e-12 7.6300033919e-13
 113 3.0230844219e-10 4.7161731596e-12 7.4769863361e-13
 114 3.0561831752e-10 4.6057358661e-12 7.3275215455e-13
 115 3.0893913778e-10 4.4988694954e-12 7.1817831373e-13
 116 3.1227034837e-10 4.3954476262e-12 7.0399321531e-13
 117 3.1561132478e-10 4.2953152172e-12 6.9021160278e-13
 118 3.1896137034e-10 4.1982878100e-12 6.7684680603e-13
 119 3.2231971408e-10 4.1041507323e-12 6.6391068827e-13
 120 3.2568550858e-10 4.0126583009e-12 6.5141359309e-13
 121 3.2905782771e-10 3.9235330248e-12 6.3936429138e-13
 122 3.3243577186e-10 3.8365276824e-12 6.2776849606e-13
 123 3.3581880174e-10 3.7516213912e-12 6.1662432413e-13
 124 3.3920643926e-10 3.6688448463e-12 6.0592620682e-13
 125 3.4259816241e-10 3.5882191885e-12 5.9566621110e-13
 126 3.4599340388e-10 3.5097557105e-12 5.8583397518e-13
 127 3.4939154978e-10 3.4334555628e-12 5.7641664405e-13
 128 3.5279193829e-10 3.3593094591e-12 5.6739880504e-13
 129 3.5619385838e-10 3.2872973831e-12 5.5876242334e-13
 130 3.5959654843e-10 3.2173882935e-12 5.5048677752e-13
 131 3.6299919496e-10 3.1495398306e-12 5.4254839511e-13
 132 3.6640093131e-10 3.0836980217e-12 5.3492098810e-13
 133 3.6980083626e-10 3.0197969873e-12 5.2757538846e-13
 134 3.7319793277e-10 2.9577586470e-12 5.2047948375e-13
 135 3.7659118666e-10 2.8974924253e-12 5.1359815256e-13
 136 3.7997950522e-10 2.8388949575e-12 5.0689320012e-13
 137 3.8336173599e-10 2.7818497956e-12 5.0032329380e-13
 138 3.8673666534e-10 2.7262271144e-12 4.9384389866e-13
 139 3.9010301723e-10 2.6718834171e-12 4.8740721299e-13
 140 3.9345958419e-10 2.6186923868e-12 4.8097208676e-13
 141 3.9680563821e-10 2.5666415881e-12 4.7453504697e-13
 142 4.0014055921e-10 2.5157450509e-12 4.6810230820e-13
 143 4.0346370586e-10 2.4660129009e-12 4.6168006807e-13
 144 4.0677441511e-10 2.4174512544e-12 4.5527450348e-13
 145 4.1007200165e-10 2.3700621143e-12 4.4889176685e-13
 146 4.1335575740e-10 2.3238432646e-12 4.4253798228e-13
 147 4.1662495098e-10 2.2787881658e-12 4.3621924185e-13
 148 4.1987882722e-10 2.2348858507e-12 4.2994160178e-13
 149 4.2311660662e-10 2.1921208187e-12 4.2371107870e-13
 150 4.2633748485e-10 2.1504729319e-12 4.1753364583e-13
 151 4.2954063223e-10 2.1099173098e-12 4.1141522925e-13
 152 4.3272519319e-10 2.0704242249e-12 4.0536170406e-13
 153 4.3589028580e-10 2.0319589975e-12 3.9937889068e-13
 154 4.3903500122e-10 1.9944818914e-12 3.9347255099e-13
 155 4.4215840318e-10 1.9579480089e-12 3.8764838463e-13
 156 4.4525952749e-10 1.9223071861e-12 3.8191202517e-13
 157 4.4833738149e-10 1.8875038880e-12 3.7626903636e-13
 158 4.5139094358e-10 1.8534771039e-12 3.7072490831e-13
 159 4.5441916266e-10 1.8201602427e-12 3.6528505379e-13
 160 4.5742102534e-10 1.7874951340e-12 3.5995416051e-13
 161 4.6039576528e-10 1.7554756516e-12 3.5473419134e-13
 162 4.6334267159e-10 1.7241077893e-12 3.4962619816e-13
 163 4.6626102258e-10 1.6933958651e-12 3.4463094299e-13
 164 4.6915008555e-10 1.6633424824e-12 3.3974889122e-13
 165 4.7200911663e-10 1.6339484903e-12 3.3498020481e-13
 166 4.7483736051e-10 1.6052129453e-12 3.3032473556e-13
 167 4.7763405033e-10 1.5771330720e-12 3.2578201829e-13
 168 4.8039840738e-10 1.5497042237e-12 3.2135126409e-13
 169 4.8312964097e-10 1.5229198440e-12 3.1703135351e-13
 170 4.8582694823e-10 1.4967714269e-12 3.1282082985e-13
 171 4.8848951385e-10 1.4712484788e-12 3.0871789229e-13
 172 4.9111650993e-10 1.4463384785e-12 3.0472038919e-13
 173 4.9370709578e-10 1.4220268386e-12 3.0082581130e-13
 174 4.9626041767e-10 1.3982968666e-12 2.9703128493e-13
 175 4.9877560869e-10 1.3751297253e-12 2.9333356524e-13
 176 5.0125178852e-10 1.3525043944e-12 2.8972902943e-13
 177 5.0368806322e-10 1.3303976310e-12 2.8621366997e-13
 178 5.0608352505e-10 1.3087839307e-12 2.8278308781e-13
 179 5.0843725226e-10 1.2876354886e-12 2.7943248564e-13
 180 5.1074830887e-10 1.2669221600e-12 2.7615666106e-13
 181 5.1301574451e-10 1.2466114219e-12 2.7294999985e-13
 182 5.1523859419e-10 1.2266683332e-12 2.6980646918e-13
 183 5.1741594386e-10 1.2070627086e-12 2.6672065408e-13
 184 5.1954713323e-10 1.1877913467e-12 2.6369097174e-13
 185 5.2163156848e-10 1.1688574693e-12 2.6071669620e-13
 186 5.2366865793e-10 1.1502636521e-12 2.5779693462e-13
 187 5.2565781212e-10 1.1320118110e-12 2.5493062423e-13
 188 5.2759844378e-10 1.1141031893e-12 2.5211652927e-13
 189 5.2948996794e-10 1.0965383440e-12 2.4935323794e-13
 190 5.3133180188e-10 1.0793171326e-12 2.4663915934e-13
 191 5.3312336525e-10 1.0624386997e-12 2.4397252038e-13
 192 5.3486408002e-10 1.0459014635e-12 2.4135136276e-13
 193 5.3655337057e-10 1.0297031027e-12 2.3877353992e-13
 194 5.3819066372e-10 1.0138405432e-12 2.3623671392e-13
 195 5.3977538873e-10 9.9830994444e-13 2.3373835244e-13
 196 5.4130697736e-10 9.8310668627e-13 2.3127572571e-13
 197 5.4278486390e-10 9.6822535556e-13 2.2884590342e-13
 198 5.4420848519e-10 9.5365973289e-13 2.2644575170e-13
 199 5.4557728068e-10 9.3940277912e-13 2.2407193005e-13
 200 5.4689069243e-10 9.2544662213e-13 2.2172088825e-13
 201 5.4814816517e-10 9.1178254340e-13 2.1938886336e-13
 202 5.4934914633e-10 8.9840096472e-13 2.1707187661e-13
 203 5.5049308606e-10 8.8529143482e-13 2.1476573035e-13
 204 5.5157943726e-10 8.7244261603e-13 2.1246600504e-13
 205 5.5260765564e-10 8.5984227090e-13 2.1016805611e-13
 206 5.5357719974e-10 8.4747724892e-13 2.0786701096e-13
 207 5.5448753096e-10 8.3533347311e-13 2.0555776589e-13
 208 5.5533811357e-10 8.2339592672e-13 2.0323498304e-13
 209 5.5612841480e-10 8.1164863983e-13 2.0089308732e-13
 210 5.5685795703e-10 8.0007791822e-13 1.9852758375e-13
 211 5.5752647840e-10 7.8868230333e-13 1.9613911629e-13
 212 5.5813378330e-10 7.7746326887e-13 1.9372968114e-13
 213 5.5867969130e-10 7.6642203535e-13 1.9130133188e-13
 214 5.5916403733e-10 7.5555956553e-13 1.8885617995e-13
 215 5.5958667187e-10 7.4487655991e-13 1.8639639520e-13
 216 5.5994746111e-10 7.3437345207e-13 1.8392420636e-13
 217 5.6024628715e-10 7.2405040418e-13 1.8144190162e-13
 218 5.6048304812e-10 7.1390730241e-13 1.7895182907e-13
 219 5.6065765841e-10 7.0394375235e-13 1.7645639729e-13
 220 5.6077004884e-10 6.9415907446e-13 1.7395807583e-13
 221 5.6082016678e-10 6.8455229951e-13 1.7145939574e-13
 222 5.6080797641e-10 6.7512216399e-13 1.6896295007e-13
 223 5.6073345881e-10 6.6586710555e-13 1.6647139439e-13
 224 5.6059661221e-10 6.5678525845e-13 1.6398744735e-13
 225 5.6039745209e-10 6.4787444900e-13 1.6151389113e-13
 226 5.6013601142e-10 6.3913219096e-13 1.5905357199e-13
 227 5.5981234081e-10 6.3055568099e-13 1.5660940081e-13
 228 5.5942650867e-10 6.2214179410e-13 1.5418435357e-13
 229 5.5897860141e-10 6.1388707905e-13 1.5178147188e-13
 230 5.5846872358e-10 6.0578775383e-13 1.4940386350e-13
 231 5.5789699811e-10 5.9783970105e-13 1.4705470286e-13
 232 5.5726356639e-10 5.9003846339e-13 1.4473723156e-13
 233 5.5656858855e-10 5.8237923904e-13 1.4245475892e-13
 234 5.5581224354e-10 5.7485687714e-13 1.4021066246e-13
 235 5.5499472937e-10 5.6746587319e-13 1.3800838844e-13
 236 5.5411626325e-10 5.6020036450e-13 1.3585145237e-13
 237 5.5317708179e-10 5.5305412561e-13 1.3374343953e-13
 238 5.5217744115e-10 5.4602056377e-13 1.3168800550e-13
 239 5.5111761723e-10 5.3909271429e-13 1.2968887663e-13
 240 5.4999790585e-10 5.3226323606e-13 1.2774985062e-13
 241 5.4881862841e-10 5.2552586235e-13 1.2587400524e-13
 242 5.4758014907e-10 5.1887985919e-13 1.2406127108e-13
 243 5.4628285894e-10 5.1232582493e-13 1.2231071452e-13
 244 5.4492717085e-10 5.0586425727e-13 1.2062131542e-13
 245 5.4351351957e-10 4.9949555170e-13 1.1899196589e-13
 246 5.4204236194e-10 4.9321999990e-13 1.1742146927e-13
 247 5.4051417709e-10 4.8703778818e-13 1.1590853894e-13
 248 5.3892946665e-10 4.8094899593e-13 1.1445179729e-13
 249 5.3728875487e-10 4.7495359401e-13 1.1304977453e-13
 250 5.3559258885e-10 4.6905144321e-13 1.1170090764e-13
 251 5.3384153874e-10 4.6324229267e-13 1.1040353922e-13
 252 5.3203619790e-10 4.5752577829e-13 1.0915591638e-13
 253 5.3017718307e-10 4.5190142118e-13 1.0795618967e-13
 254 5.2826513460e-10 4.4636862609e-13 1.0680241191e-13
 255 5.2630071660e-10 4.4092667983e-13 1.0569253710e-13
 256 5.2428461716e-10 4.3557474969e-13 1.0462441934e-13
 257 5.2221754850e-10 4.3031188187e-13 1.0359581166e-13
 258 5.2010024717e-10 4.2513699994e-13 1.0260436497e-13
 259 5.1793347426e-10 4.2004890322e-13 1.0164762689e-13
 260 5.1571801554e-10 4.1504626526e-13 1.0072304067e-13
 261 5.1345468168e-10 4.1012763220e-13 9.9827944094e-14
 262 5.1114430844e-10 4.0529142129e-13 9.8959568322e-14
 263 5.0878775683e-10 4.0053591923e-13 9.8115036817e-14
 264 5.0638591331e-10 3.9585928065e-13 9.7291364214e-14
 265 5.0393968999e-10 3.9125952652e-13 9.6485455218e-14
 266 5.0145002477e-10 3.8673454260e-13 9.5694103484e-14
 267 4.9891788160e-10 3.8228207783e-13 9.4913990512e-14
 268 4.9634425059e-10 3.7789974278e-13 9.4141684528e-14
 269 4.9373014826e-10 3.7358500811e-13 9.3373639380e-14
 270 4.9107661767e-10 3.6933520293e-13 9.2606193420e-14
 271 4.8838472865e-10 3.6514751329e-13 9.1835568395e-14
 272 4.8565557796e-10 3.6101898056e-13 9.1057868334e-14
 273 4.8289028949e-10 3.5694649992e-13 9.0269078437e-14
 274 4.8009001445e-10 3.5292681871e-13 8.9465063962e-14
 275 4.7725593152e-10 3.4895653493e-13 8.8641569113e-14
 276 4.7438917058e-10 3.4503276330e-13 8.7795089523e-14
 277 4.7149057886e-10 3.4115517548e-13 8.6925542555e-14
 278 4.6856094287e-10 3.3732406364e-13 8.6033734661e-14
 279 4.6560106391e-10 3.3353968189e-13 8.5120500641e-14
 280 4.6261175808e-10 3.2980224572e-13 8.4186703901e-14
 281 4.5959385640e-10 3.2611193152e-13 8.3233236715e-14
 282 4.5654820486e-10 3.2246887603e-13 8.2261020481e-14
 283 4.5347566447e-10 3.1887317585e-13 8.1271005984e-14
 284 4.5037711134e-10 3.1532488685e-13 8.0264173651e-14
 285 4.4725343674e-10 3.1182402372e-13 7.9241533814e-14
 286 4.4410554718e-10 3.0837055941e-13 7.8204126969e-14
 287 4.4093436445e-10 3.0496442460e-13 7.7153024032e-14
 288 4.3774082572e-10 3.0160550719e-13 7.6089326601e-14
 289 4.3452588358e-10 2.9829365178e-13 7.5014167218e-14
 290 4.3129050610e-10 2.9502865914e-13 7.3928709620e-14
 291 4.2803567692e-10 2.9181028568e-13 7.2834149008e-14
 292 4.2476239532e-10 2.8863824294e-13 7.1731712299e-14
 293 4.2147167626e-10 2.8551219706e-13 7.0622658390e-14
 294 4.1816455045e-10 2.8243176825e-13 6.9508278413e-14
 295 4.1484206443e-10 2.7939653027e-13 6.8389896000e-14
