# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3800, i.e. number of multipoles equal to 3799
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               phiphi           Tphi             
 808 2.5757794115e-10 8.5343425795e-15 3.0117465964e-15
 809 2.5764697540e-10 8.4952371078e-15 3.0201865549e-15
 810 2.5769543456e-10 8.4563506007e-15 3.0302113114e-15
 811 2.5772328504e-10 8.4176817494e-15 3.0416903309e-15
 812 2.5773049399e-10 8.3792292112e-15 3.0544917049e-15
 813 2.5771702929e-10 8.3409916085e-15 3.0684821464e-15
 814 2.5768285955e-10 8.3029675293e-15 3.0835269864e-15
 815 2.5762795417e-10 8.2651555269e-15 3.0994901687e-15
 816 2.5755228325e-10 8.2275541195e-15 3.1162342463e-15
 817 2.5745581768e-10 8.1901617904e-15 3.1336203768e-15
 818 2.5733852909e-10 8.1529769879e-15 3.1515083177e-15
 819 2.5720038987e-10 8.1159981246e-15 3.1697564231e-15
 820 2.5704137317e-10 8.0792235781e-15 3.1882216382e-15
 821 2.5686145292e-10 8.0426516902e-15 3.2067594957e-15
 822 2.5666060381e-10 8.0062807670e-15 3.2252241114e-15
 823 2.5643880131e-10 7.9701090790e-15 3.2434681798e-15
 824 2.5619602165e-10 7.9341348604e-15 3.2613429696e-15
 825 2.5593224186e-10 7.8983563097e-15 3.2786983196e-15
 826 2.5564743974e-10 7.8627715888e-15 3.2953826346e-15
 827 2.5534159389e-10 7.8273788236e-15 3.3112428804e-15
 828 2.5501468367e-10 7.7921761031e-15 3.3261245801e-15
 829 2.5466668928e-10 7.7571614801e-15 3.3398718098e-15
 830 2.5429759166e-10 7.7223329703e-15 3.3523271937e-15
 831 2.5390737260e-10 7.6876885528e-15 3.3633319003e-15
 832 2.5349601467e-10 7.6532261694e-15 3.3727256380e-15
 833 2.5306350124e-10 7.6189437250e-15 3.3803466506e-15
 834 2.5260981650e-10 7.5848390869e-15 3.3860317131e-15
 835 2.5213494545e-10 7.5509100853e-15 3.3896161275e-15
 836 2.5163891081e-10 7.5171548785e-15 3.3909710650e-15
 837 2.5112188445e-10 7.4835730581e-15 3.3901163176e-15
 838 2.5058407791e-10 7.4501645627e-15 3.3871095064e-15
 839 2.5002570567e-10 7.4169293143e-15 3.3820089156e-15
 840 2.4944698518e-10 7.3838672179e-15 3.3748734940e-15
 841 2.4884813688e-10 7.3509781615e-15 3.3657628578e-15
 842 2.4822938418e-10 7.3182620159e-15 3.3547372923e-15
 843 2.4759095347e-10 7.2857186351e-15 3.3418577540e-15
 844 2.4693307416e-10 7.2533478555e-15 3.3271858725e-15
 845 2.4625597867e-10 7.2211494964e-15 3.3107839532e-15
 846 2.4555990244e-10 7.1891233599e-15 3.2927149788e-15
 847 2.4484508392e-10 7.1572692302e-15 3.2730426114e-15
 848 2.4411176464e-10 7.1255868745e-15 3.2518311951e-15
 849 2.4336018915e-10 7.0940760423e-15 3.2291457575e-15
 850 2.4259060507e-10 7.0627364652e-15 3.2050520122e-15
 851 2.4180326309e-10 7.0315678574e-15 3.1796163607e-15
 852 2.4099841698e-10 7.0005699153e-15 3.1529058945e-15
 853 2.4017632359e-10 6.9697423172e-15 3.1249883970e-15
 854 2.3933724288e-10 6.9390847237e-15 3.0959323462e-15
 855 2.3848143791e-10 6.9085967775e-15 3.0658069160e-15
 856 2.3760917486e-10 6.8782781029e-15 3.0346819789e-15
 857 2.3672072304e-10 6.8481283063e-15 3.0026281077e-15
 858 2.3581635490e-10 6.8181469759e-15 2.9697165778e-15
 859 2.3489634603e-10 6.7883336817e-15 2.9360193692e-15
 860 2.3396097517e-10 6.7586879750e-15 2.9016091687e-15
 861 2.3301052424e-10 6.7292093891e-15 2.8665593717e-15
 862 2.3204527833e-10 6.6998974386e-15 2.8309440847e-15
 863 2.3106552572e-10 6.6707516196e-15 2.7948381270e-15
 864 2.3007155787e-10 6.6417714096e-15 2.7583170330e-15
 865 2.2906366946e-10 6.6129562673e-15 2.7214570543e-15
 866 2.2804215838e-10 6.5843056327e-15 2.6843351617e-15
 867 2.2700732574e-10 6.5558189270e-15 2.6470290473e-15
 868 2.2595947588e-10 6.5274955525e-15 2.6096171266e-15
 869 2.2489891640e-10 6.4993348924e-15 2.5721785406e-15
 870 2.2382595813e-10 6.4713363109e-15 2.5347931578e-15
 871 2.2274091518e-10 6.4434991531e-15 2.4975415766e-15
 872 2.2164410493e-10 6.4158227451e-15 2.4605051269e-15
 873 2.2053584803e-10 6.3883063933e-15 2.4237658724e-15
 874 2.1941646843e-10 6.3609493852e-15 2.3874066130e-15
 875 2.1828629338e-10 6.3337509886e-15 2.3515108865e-15
 876 2.1714565073e-10 6.3067103830e-15 2.3161491198e-15
 877 2.1599486077e-10 6.2798264506e-15 2.2813368264e-15
 878 2.1483424428e-10 6.2530979816e-15 2.2470757165e-15
 879 2.1366412523e-10 6.2265237428e-15 2.2133674846e-15
 880 2.1248483077e-10 6.2001024770e-15 2.1802138099e-15
 881 2.1129669128e-10 6.1738329040e-15 2.1476163552e-15
 882 2.1010004036e-10 6.1477137193e-15 2.1155767681e-15
 883 2.0889521482e-10 6.1217435949e-15 2.0840966797e-15
 884 2.0768255472e-10 6.0959211789e-15 2.0531777056e-15
 885 2.0646240336e-10 6.0702450952e-15 2.0228214449e-15
 886 2.0523510730e-10 6.0447139440e-15 1.9930294809e-15
 887 2.0400101636e-10 6.0193263010e-15 1.9638033804e-15
 888 2.0276048364e-10 5.9940807179e-15 1.9351446941e-15
 889 2.0151386550e-10 5.9689757221e-15 1.9070549561e-15
 890 2.0026152163e-10 5.9440098165e-15 1.8795356841e-15
 891 1.9900381499e-10 5.9191814796e-15 1.8525883795e-15
 892 1.9774111186e-10 5.8944891654e-15 1.8262145268e-15
 893 1.9647378184e-10 5.8699313033e-15 1.8004155939e-15
 894 1.9520219786e-10 5.8455062978e-15 1.7751930320e-15
 895 1.9392673619e-10 5.8212125289e-15 1.7505482753e-15
 896 1.9264777643e-10 5.7970483514e-15 1.7264827412e-15
 897 1.9136570157e-10 5.7730120955e-15 1.7029978301e-15
 898 1.9008089794e-10 5.7491020661e-15 1.6800949253e-15
 899 1.8879375524e-10 5.7253165431e-15 1.6577753929e-15
 900 1.8750466657e-10 5.7016537812e-15 1.6360405818e-15
 901 1.8621402843e-10 5.6781120098e-15 1.6148918237e-15
 902 1.8492224069e-10 5.6546894330e-15 1.5943304328e-15
 903 1.8362970667e-10 5.6313842294e-15 1.5743577057e-15
 904 1.8233683308e-10 5.6081945520e-15 1.5549749219e-15
 905 1.8104403008e-10 5.5851185284e-15 1.5361833428e-15
 906 1.7975171126e-10 5.5621542605e-15 1.5179842125e-15
 907 1.7846029367e-10 5.5392998241e-15 1.5003787570e-15
 908 1.7717019779e-10 5.5165532696e-15 1.4833681847e-15
 909 1.7588184760e-10 5.4939126212e-15 1.4669536860e-15
 910 1.7459567055e-10 5.4713758772e-15 1.4511364333e-15
 911 1.7331209754e-10 5.4489410098e-15 1.4359175810e-15
 912 1.7203156302e-10 5.4266059649e-15 1.4212982651e-15
 913 1.7075450490e-10 5.4043686624e-15 1.4072796037e-15
 914 1.6948136462e-10 5.3822269956e-15 1.3938626964e-15
 915 1.6821258715e-10 5.3601788316e-15 1.3810486244e-15
 916 1.6694858408e-10 5.3382224097e-15 1.3688354575e-15
 917 1.6568962231e-10 5.3163575454e-15 1.3572092216e-15
 918 1.6443593362e-10 5.2945844453e-15 1.3461527869e-15
 919 1.6318775140e-10 5.2729033104e-15 1.3356488475e-15
 920 1.6194531069e-10 5.2513143361e-15 1.3256799210e-15
 921 1.6070884812e-10 5.2298177117e-15 1.3162283476e-15
 922 1.5947860196e-10 5.2084136208e-15 1.3072762900e-15
 923 1.5825481214e-10 5.1871022411e-15 1.2988057327e-15
 924 1.5703772019e-10 5.1658837446e-15 1.2907984816e-15
 925 1.5582756931e-10 5.1447582970e-15 1.2832361635e-15
 926 1.5462460433e-10 5.1237260585e-15 1.2761002252e-15
 927 1.5342907174e-10 5.1027871830e-15 1.2693719338e-15
 928 1.5224121967e-10 5.0819418188e-15 1.2630323754e-15
 929 1.5106129794e-10 5.0611901078e-15 1.2570624551e-15
 930 1.4988955798e-10 5.0405321861e-15 1.2514428960e-15
 931 1.4872625293e-10 5.0199681836e-15 1.2461542396e-15
 932 1.4757163759e-10 4.9994982245e-15 1.2411768440e-15
 933 1.4642596841e-10 4.9791224263e-15 1.2364908847e-15
 934 1.4528950355e-10 4.9588409009e-15 1.2320763533e-15
 935 1.4416250283e-10 4.9386537538e-15 1.2279130569e-15
 936 1.4304522777e-10 4.9185610843e-15 1.2239806184e-15
 937 1.4193794156e-10 4.8985629857e-15 1.2202584751e-15
 938 1.4084090910e-10 4.8786595448e-15 1.2167258788e-15
 939 1.3975439698e-10 4.8588508424e-15 1.2133618949e-15
 940 1.3867867349e-10 4.8391369529e-15 1.2101454022e-15
 941 1.3761400864e-10 4.8195179445e-15 1.2070550923e-15
 942 1.3656067413e-10 4.7999938790e-15 1.2040694690e-15
 943 1.3551894338e-10 4.7805648118e-15 1.2011668479e-15
 944 1.3448909152e-10 4.7612307920e-15 1.1983253556e-15
 945 1.3347139542e-10 4.7419918624e-15 1.1955229300e-15
 946 1.3246613366e-10 4.7228480592e-15 1.1927373186e-15
 947 1.3147358654e-10 4.7037994123e-15 1.1899460793e-15
 948 1.3049403612e-10 4.6848459450e-15 1.1871265786e-15
 949 1.2952776617e-10 4.6659876743e-15 1.1842559922e-15
 950 1.2857506222e-10 4.6472246106e-15 1.1813113038e-15
 951 1.2763621153e-10 4.6285567575e-15 1.1782693050e-15
 952 1.2671150312e-10 4.6099841125e-15 1.1751065944e-15
 953 1.2580122775e-10 4.5915066662e-15 1.1717995775e-15
 954 1.2490567795e-10 4.5731244027e-15 1.1683244660e-15
 955 1.2402514799e-10 4.5548372994e-15 1.1646572771e-15
 956 1.2315988841e-10 4.5366452431e-15 1.1607792997e-15
 957 1.2230996862e-10 4.5185477775e-15 1.1566935835e-15
 958 1.2147541216e-10 4.5005443517e-15 1.1524087006e-15
 959 1.2065624208e-10 4.4826344038e-15 1.1479333022e-15
 960 1.1985248090e-10 4.4648173608e-15 1.1432761189e-15
 961 1.1906415061e-10 4.4470926391e-15 1.1384459608e-15
 962 1.1829127269e-10 4.4294596436e-15 1.1334517179e-15
 963 1.1753386808e-10 4.4119177683e-15 1.1283023601e-15
 964 1.1679195720e-10 4.3944663959e-15 1.1230069376e-15
 965 1.1606555994e-10 4.3771048982e-15 1.1175745809e-15
 966 1.1535469565e-10 4.3598326355e-15 1.1120145013e-15
 967 1.1465938316e-10 4.3426489571e-15 1.1063359908e-15
 968 1.1397964074e-10 4.3255532009e-15 1.1005484225e-15
 969 1.1331548615e-10 4.3085446934e-15 1.0946612509e-15
 970 1.1266693658e-10 4.2916227500e-15 1.0886840118e-15
 971 1.1203400871e-10 4.2747866744e-15 1.0826263228e-15
 972 1.1141671865e-10 4.2580357592e-15 1.0764978835e-15
 973 1.1081508197e-10 4.2413692853e-15 1.0703084753e-15
 974 1.1022911370e-10 4.2247865221e-15 1.0640679623e-15
 975 1.0965882830e-10 4.2082867277e-15 1.0577862910e-15
 976 1.0910423970e-10 4.1918691485e-15 1.0514734907e-15
 977 1.0856536127e-10 4.1755330193e-15 1.0451396736e-15
 978 1.0804220580e-10 4.1592775633e-15 1.0387950352e-15
 979 1.0753478557e-10 4.1431019919e-15 1.0324498542e-15
 980 1.0704311224e-10 4.1270055049e-15 1.0261144932e-15
 981 1.0656719695e-10 4.1109872905e-15 1.0197993984e-15
 982 1.0610705026e-10 4.0950465249e-15 1.0135151001e-15
 983 1.0566268217e-10 4.0791823726e-15 1.0072722129e-15
 984 1.0523410210e-10 4.0633939862e-15 1.0010814359e-15
 985 1.0482131891e-10 4.0476805065e-15 9.9495355265e-16
 986 1.0442434087e-10 4.0320410623e-15 9.8889943184e-16
 987 1.0404317571e-10 4.0164747705e-15 9.8293002715e-16
 988 1.0367783054e-10 4.0009807359e-15 9.7705637758e-16
 989 1.0332831193e-10 3.9855580516e-15 9.7128960768e-16
 990 1.0299462583e-10 3.9702057982e-15 9.6564092772e-16
 991 1.0267677764e-10 3.9549230444e-15 9.6012163393e-16
 992 1.0237477217e-10 3.9397088470e-15 9.5474310869e-16
 993 1.0208861362e-10 3.9245622503e-15 9.4951682078e-16
 994 1.0181830563e-10 3.9094822865e-15 9.4445432556e-16
 995 1.0156385123e-10 3.8944679756e-15 9.3956726519e-16
 996 1.0132522523e-10 3.8795184636e-15 9.3486278933e-16
 997 1.0110229089e-10 3.8646334395e-15 9.3032974326e-16
 998 1.0089488203e-10 3.8498127242e-15 9.2595227763e-16
 999 1.0070283052e-10 3.8350561329e-15 9.2171440928e-16
1000 1.0052596629e-10 3.8203634753e-15 9.1760002086e-16
1001 1.0036411734e-10 3.8057345552e-15 9.1359286056e-16
1002 1.0021710970e-10 3.7911691707e-15 9.0967654167e-16
1003 1.0008476745e-10 3.7766671140e-15 9.0583454235e-16
1004 9.9966912710e-11 3.7622281718e-15 9.0205020520e-16
1005 9.9863365634e-11 3.7478521248e-15 8.9830673697e-16
1006 9.9773944398e-11 3.7335387478e-15 8.9458720819e-16
1007 9.9698465202e-11 3.7192878100e-15 8.9087455286e-16
1008 9.9636742261e-11 3.7050990747e-15 8.8715156807e-16
1009 9.9588587803e-11 3.6909722990e-15 8.8340091369e-16
1010 9.9553812061e-11 3.6769072345e-15 8.7960511203e-16
1011 9.9532223266e-11 3.6629036268e-15 8.7574654748e-16
1012 9.9523627647e-11 3.6489612153e-15 8.7180746618e-16
1013 9.9527829421e-11 3.6350797338e-15 8.6776997567e-16
1014 9.9544630790e-11 3.6212589099e-15 8.6361604456e-16
1015 9.9573831933e-11 3.6074984653e-15 8.5932750219e-16
1016 9.9615231005e-11 3.5937981157e-15 8.5488603829e-16
1017 9.9668624126e-11 3.5801575707e-15 8.5027320262e-16
1018 9.9733805382e-11 3.5665765339e-15 8.4547040466e-16
1019 9.9810566813e-11 3.5530547029e-15 8.4045891322e-16
1020 9.9898698414e-11 3.5395917690e-15 8.3521985618e-16
1021 9.9997988125e-11 3.5261874178e-15 8.2973422007e-16
1022 1.0010822183e-10 3.5128413283e-15 8.2398284975e-16
1023 1.0022918334e-10 3.4995531737e-15 8.1794644811e-16
1024 1.0036065441e-10 3.4863226210e-15 8.1160557568e-16
1025 1.0050241470e-10 3.4731493308e-15 8.0494065031e-16
1026 1.0065424182e-10 3.4600329577e-15 7.9793194683e-16
1027 1.0081591127e-10 3.4469731501e-15 7.9055959670e-16
1028 1.0098719646e-10 3.4339695501e-15 7.8280358768e-16
1029 1.0116786872e-10 3.4210217936e-15 7.7464376349e-16
1030 1.0135769727e-10 3.4081295101e-15 7.6605982345e-16
1031 1.0155644920e-10 3.3952923229e-15 7.5703132217e-16
1032 1.0176388954e-10 3.3825098491e-15 7.4753766917e-16
1033 1.0197978114e-10 3.3697816992e-15 7.3755812858e-16
1034 1.0220388478e-10 3.3571074777e-15 7.2707181878e-16
1035 1.0243595908e-10 3.3444867825e-15 7.1605771205e-16
1036 1.0267576408e-10 3.3319192843e-15 7.0450116723e-16
1037 1.0292307183e-10 3.3194049660e-15 6.9241362929e-16
1038 1.0317765598e-10 3.3069438865e-15 6.7981320688e-16
1039 1.0343928813e-10 3.2945361019e-15 6.6671816489e-16
1040 1.0370773794e-10 3.2821816657e-15 6.5314692484e-16
1041 1.0398277304e-10 3.2698806285e-15 6.3911806533e-16
1042 1.0426415908e-10 3.2576330381e-15 6.2465032234e-16
1043 1.0455165970e-10 3.2454389396e-15 6.0976258967e-16
1044 1.0484503651e-10 3.2332983753e-15 5.9447391934e-16
1045 1.0514404914e-10 3.2212113847e-15 5.7880352192e-16
1046 1.0544845518e-10 3.2091780043e-15 5.6277076701e-16
1047 1.0575801018e-10 3.1971982679e-15 5.4639518352e-16
1048 1.0607246769e-10 3.1852722065e-15 5.2969646016e-16
1049 1.0639157920e-10 3.1733998482e-15 5.1269444576e-16
1050 1.0671509418e-10 3.1615812182e-15 4.9540914970e-16
1051 1.0704276003e-10 3.1498163389e-15 4.7786074225e-16
1052 1.0737432212e-10 3.1381052298e-15 4.6006955504e-16
1053 1.0770952375e-10 3.1264479074e-15 4.4205608136e-16
1054 1.0804810618e-10 3.1148443854e-15 4.2384097660e-16
1055 1.0838980859e-10 3.1032946746e-15 4.0544505863e-16
1056 1.0873436809e-10 3.0917987829e-15 3.8688930819e-16
1057 1.0908151972e-10 3.0803567152e-15 3.6819486928e-16
1058 1.0943099643e-10 3.0689684734e-15 3.4938304953e-16
1059 1.0978252910e-10 3.0576340566e-15 3.3047532060e-16
1060 1.1013584651e-10 3.0463534608e-15 3.1149331860e-16
1061 1.1049067534e-10 3.0351266792e-15 2.9245884443e-16
1062 1.1084674019e-10 3.0239537018e-15 2.7339386419e-16
1063 1.1120376352e-10 3.0128345158e-15 2.5432050957e-16
1064 1.1156146573e-10 3.0017691054e-15 2.3526107826e-16
1065 1.1191956506e-10 2.9907574515e-15 2.1623803427e-16
1066 1.1227777764e-10 2.9797995324e-15 1.9727400842e-16
1067 1.1263581750e-10 2.9688953230e-15 1.7839179864e-16
1068 1.1299339652e-10 2.9580447955e-15 1.5961437039e-16
1069 1.1335022444e-10 2.9472479187e-15 1.4096485709e-16
1070 1.1370600887e-10 2.9365046587e-15 1.2246656043e-16
1071 1.1406045527e-10 2.9258149782e-15 1.0414295081e-16
1072 1.1441326696e-10 2.9151788369e-15 8.6017667752e-17
1073 1.1476414509e-10 2.9045961917e-15 6.8114520212e-17
1074 1.1511278867e-10 2.8940669960e-15 5.0457487037e-17
1075 1.1545889453e-10 2.8835912004e-15 3.3070717326e-17
1076 1.1580218457e-10 2.8731686941e-15 1.5976282543e-17
1077 1.1614248789e-10 2.8627991301e-15 -8.1260135808e-19
1078 1.1647965976e-10 2.8524820980e-15 -1.7284887320e-17
1079 1.1681355449e-10 2.8422171814e-15 -3.3429457094e-17
1080 1.1714402541e-10 2.8320039583e-15 -4.9235121087e-17
1081 1.1747092490e-10 2.8218420010e-15 -6.4690618200e-17
1082 1.1779410434e-10 2.8117308757e-15 -7.9784615677e-17
1083 1.1811341416e-10 2.8016701430e-15 -9.4505708945e-17
1084 1.1842870382e-10 2.7916593578e-15 -1.0884242146e-16
1085 1.1873982176e-10 2.7816980688e-15 -1.2278320455e-16
1086 1.1904661549e-10 2.7717858192e-15 -1.3631643727e-16
1087 1.1934893151e-10 2.7619221461e-15 -1.4943042621e-16
1088 1.1964661534e-10 2.7521065809e-15 -1.6211340539e-16
1089 1.1993951152e-10 2.7423386488e-15 -1.7435353606e-16
1090 1.2022746357e-10 2.7326178694e-15 -1.8613890658e-16
1091 1.2051031407e-10 2.7229437561e-15 -1.9745753223e-16
1092 1.2078790457e-10 2.7133158166e-15 -2.0829735507e-16
1093 1.2106007564e-10 2.7037335524e-15 -2.1864624380e-16
1094 1.2132666684e-10 2.6941964592e-15 -2.2849199357e-16
1095 1.2158751673e-10 2.6847040265e-15 -2.3782232586e-16
1096 1.2184246290e-10 2.6752557380e-15 -2.4662488827e-16
1097 1.2209134188e-10 2.6658510712e-15 -2.5488725445e-16
1098 1.2233398925e-10 2.6564894976e-15 -2.6259692384e-16
1099 1.2257023955e-10 2.6471704828e-15 -2.6974132162e-16
1100 1.2279992631e-10 2.6378934859e-15 -2.7630779845e-16
1101 1.2302288205e-10 2.6286579605e-15 -2.8228363041e-16
1102 1.2323893829e-10 2.6194633535e-15 -2.8765601876e-16
1103 1.2344792552e-10 2.6103091060e-15 -2.9241208985e-16
1104 1.2364967321e-10 2.6011946530e-15 -2.9653889493e-16
1105 1.2384400981e-10 2.5921194231e-15 -3.0002340999e-16
1106 1.2403076275e-10 2.5830828390e-15 -3.0285253562e-16
1107 1.2420975843e-10 2.5740843169e-15 -3.0501309685e-16
1108 1.2438082223e-10 2.5651232671e-15 -3.0649184301e-16
1109 1.2454377849e-10 2.5561990934e-15 -3.0727544751e-16
1110 1.2469845052e-10 2.5473111937e-15 -3.0735050779e-16
1111 1.2484466061e-10 2.5384589592e-15 -3.0670354504e-16
1112 1.2498222999e-10 2.5296417752e-15 -3.0532100416e-16
1113 1.2511097887e-10 2.5208590206e-15 -3.0318925352e-16
1114 1.2523072641e-10 2.5121100680e-15 -3.0029458486e-16
1115 1.2534129074e-10 2.5033942836e-15 -2.9662321309e-16
1116 1.2544252130e-10 2.4947111330e-15 -2.9217018979e-16
1117 1.2553439653e-10 2.4860604995e-15 -2.8696627173e-16
1118 1.2561692744e-10 2.4774423701e-15 -2.8105140388e-16
1119 1.2569012541e-10 2.4688567296e-15 -2.7446583834e-16
1120 1.2575400216e-10 2.4603035613e-15 -2.6725013506e-16
1121 1.2580856975e-10 2.4517828465e-15 -2.5944516253e-16
1122 1.2585384061e-10 2.4432945647e-15 -2.5109209853e-16
1123 1.2588982751e-10 2.4348386936e-15 -2.4223243075e-16
1124 1.2591654355e-10 2.4264152088e-15 -2.3290795759e-16
1125 1.2593400222e-10 2.4180240845e-15 -2.2316078876e-16
1126 1.2594221732e-10 2.4096652926e-15 -2.1303334606e-16
1127 1.2594120305e-10 2.4013388033e-15 -2.0256836406e-16
1128 1.2593097392e-10 2.3930445851e-15 -1.9180889077e-16
1129 1.2591154482e-10 2.3847826043e-15 -1.8079828839e-16
1130 1.2588293100e-10 2.3765528255e-15 -1.6958023397e-16
1131 1.2584514806e-10 2.3683552114e-15 -1.5819872017e-16
1132 1.2579821195e-10 2.3601897228e-15 -1.4669805587e-16
1133 1.2574213899e-10 2.3520563185e-15 -1.3512286697e-16
1134 1.2567694587e-10 2.3439549555e-15 -1.2351809702e-16
1135 1.2560264962e-10 2.3358855889e-15 -1.1192900797e-16
1136 1.2551926764e-10 2.3278481718e-15 -1.0040118084e-16
1137 1.2542681770e-10 2.3198426554e-15 -8.8980516440e-17
1138 1.2532531792e-10 2.3118689890e-15 -7.7713236052e-17
1139 1.2521478681e-10 2.3039271199e-15 -6.6645882159e-17
1140 1.2509524323e-10 2.2960169935e-15 -5.5825319131e-17
1141 1.2496670640e-10 2.2881385533e-15 -4.5298733925e-17
1142 1.2482919592e-10 2.2802917408e-15 -3.5113636797e-17
1143 1.2468273175e-10 2.2724764954e-15 -2.5317861994e-17
1144 1.2452733424e-10 2.2646927548e-15 -1.5959568461e-17
1145 1.2436302408e-10 2.2569404546e-15 -7.0872405447e-18
1146 1.2418982236e-10 2.2492195283e-15 1.2503113098e-18
1147 1.2400775054e-10 2.2415299077e-15 9.0039498530e-18
1148 1.2381683042e-10 2.2338715223e-15 1.6124210331e-17
1149 1.2361708423e-10 2.2262442998e-15 2.2561299781e-17
1150 1.2340853452e-10 2.2186481659e-15 2.8265096333e-17
1151 1.2319120427e-10 2.2110830442e-15 3.3185148507e-17
1152 1.2296511679e-10 2.2035488564e-15 3.7270674507e-17
1153 1.2273029580e-10 2.1960455221e-15 4.0470561524e-17
1154 1.2248676540e-10 2.1885729588e-15 4.2733365032e-17
1155 1.2223455004e-10 2.1811310822e-15 4.4007308085e-17
1156 1.2197369234e-10 2.1737198048e-15 4.4257383921e-17
1157 1.2170430654e-10 2.1663390336e-15 4.3516901883e-17
1158 1.2142652569e-10 2.1589886726e-15 4.1836591773e-17
1159 1.2114048399e-10 2.1516686234e-15 3.9267560488e-17
1160 1.2084631674e-10 2.1443787859e-15 3.5861292850e-17
1161 1.2054416038e-10 2.1371190578e-15 3.1669652439e-17
1162 1.2023415248e-10 2.1298893344e-15 2.6744882427e-17
1163 1.1991643173e-10 2.1226895093e-15 2.1139606407e-17
1164 1.1959113799e-10 2.1155194737e-15 1.4906829232e-17
1165 1.1925841223e-10 2.1083791169e-15 8.0999378416e-18
1166 1.1891839657e-10 2.1012683257e-15 7.7270209612e-19
1167 1.1857123428e-10 2.0941869853e-15 -7.0207243895e-18
1168 1.1821706977e-10 2.0871349783e-15 -1.5225803414e-17
1169 1.1785604861e-10 2.0801121853e-15 -2.3787611358e-17
1170 1.1748831751e-10 2.0731184848e-15 -3.2650838349e-17
1171 1.1711402433e-10 2.0661537532e-15 -4.1759787432e-17
1172 1.1673331812e-10 2.0592178645e-15 -5.1058373735e-17
1173 1.1634634905e-10 2.0523106908e-15 -6.0490123638e-17
1174 1.1595326848e-10 2.0454321018e-15 -6.9998173937e-17
1175 1.1555422891e-10 2.0385819652e-15 -7.9525271015e-17
1176 1.1514938403e-10 2.0317601464e-15 -8.9013770009e-17
1177 1.1473888870e-10 2.0249665085e-15 -9.8405633977e-17
1178 1.1432289893e-10 2.0182009128e-15 -1.0764243306e-16
1179 1.1390157194e-10 2.0114632179e-15 -1.1666534367e-16
1180 1.1347506608e-10 2.0047532806e-15 -1.2541514761e-16
1181 1.1304354093e-10 1.9980709551e-15 -1.3383223132e-16
1182 1.1260715723e-10 1.9914160938e-15 -1.4185658495e-16
1183 1.1216607689e-10 1.9847885465e-15 -1.4942780161e-16
1184 1.1172046304e-10 1.9781881611e-15 -1.5648507649e-16
1185 1.1127047999e-10 1.9716147828e-15 -1.6296720603e-16
1186 1.1081629322e-10 1.9650682551e-15 -1.6881258712e-16
1187 1.1035806943e-10 1.9585484189e-15 -1.7395921624e-16
1188 1.0989597652e-10 1.9520551129e-15 -1.7834468860e-16
1189 1.0943018357e-10 1.9455881735e-15 -1.8190619739e-16
1190 1.0896086090e-10 1.9391474351e-15 -1.8458053287e-16
1191 1.0848817999e-10 1.9327327294e-15 -1.8630408156e-16
1192 1.0801231355e-10 1.9263438862e-15 -1.8701282543e-16
1193 1.0753343552e-10 1.9199807329e-15 -1.8664234104e-16
1194 1.0705172103e-10 1.9136430944e-15 -1.8512779871e-16
1195 1.0656734642e-10 1.9073307935e-15 -1.8240396171e-16
1196 1.0608048491e-10 1.9010436663e-15 -1.7842442081e-16
1197 1.0559129340e-10 1.8947816086e-15 -1.7321955703e-16
1198 1.0509992550e-10 1.8885445301e-15 -1.6683928560e-16
1199 1.0460653586e-10 1.8823323389e-15 -1.5933388561e-16
1200 1.0411128021e-10 1.8761449411e-15 -1.5075400079e-16
1201 1.0361431530e-10 1.8699822415e-15 -1.4115064027e-16
1202 1.0311579896e-10 1.8638441428e-15 -1.3057517938e-16
1203 1.0261589006e-10 1.8577305462e-15 -1.1907936040e-16
1204 1.0211474856e-10 1.8516413512e-15 -1.0671529339e-16
1205 1.0161253546e-10 1.8455764555e-15 -9.3535456917e-17
1206 1.0110941284e-10 1.8395357550e-15 -7.9592698871e-17
1207 1.0060554384e-10 1.8335191441e-15 -6.4940237225e-17
1208 1.0010109267e-10 1.8275265153e-15 -4.9631660826e-17
1209 9.9596224625e-11 1.8215577592e-15 -3.3720930166e-17
1210 9.9091106056e-11 1.8156127651e-15 -1.7262378170e-17
1211 9.8585904404e-11 1.8096914201e-15 -3.1071097033e-19
1212 9.8080788187e-11 1.8037936098e-15 1.7078991312e-17
1213 9.7575927004e-11 1.7979192180e-15 3.4851273787e-17
1214 9.7071491537e-11 1.7920681266e-15 5.2950306017e-17
1215 9.6567653555e-11 1.7862402160e-15 7.1319881235e-17
1216 9.6064585914e-11 1.7804353646e-15 8.9903415567e-17
1217 9.5562462562e-11 1.7746534490e-15 1.0864394725e-16
1218 9.5061458536e-11 1.7688943443e-15 1.2748413586e-16
1219 9.4561749971e-11 1.7631579235e-15 1.4636626151e-16
1220 9.4063514097e-11 1.7574440579e-15 1.6523222411e-16
1221 9.3566929245e-11 1.7517526171e-15 1.8402354253e-16
1222 9.3072174845e-11 1.7460834689e-15 2.0268135390e-16
1223 9.2579431432e-11 1.7404364792e-15 2.2114641273e-16
