# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
                        z        proper time [Gyr] conformal time * c [Mpc]            H / c [1/Mpc]       comov. dist. [Mpc]   ang. diam. dist. [Mpc]   luminosity dist. [Mpc] comov. sound hori. [Mpc]  (8piG/3) rho_g [Mpc^-2]       (.) rho_b [Mpc^-2]     (.) rho_cdm [Mpc^-2]  (.) rho_Lambda [Mpc^-2]      (.) rho_ur [Mpc^-2]    (.) rho_crit [Mpc^-2]
       1.000000000000e+14       7.558775881801e-26       4.634785000235e-09       2.157468236847e+22       1.389410041087e+04       1.389410041087e-10       1.389410041087e+18       2.676054550093e-09       2.753580214648e+44       2.725992637331e+33       1.362996318666e+34       3.815924225345e-08       1.901088978193e+44       4.654669193004e+44
       9.930486593843e+13       7.664969124164e-26       4.667526809499e-09       2.127577895001e+22       1.389410041087e+04       1.399135911375e-10       1.379751778637e+18       2.694786931944e-09       2.677810562215e+44       2.669538980851e+33       1.334769490426e+34       3.815924225345e-08       1.848777136920e+44       4.526587699295e+44
       9.861456399050e+13       7.772654275389e-26       4.700268618762e-09       2.098101664713e+22       1.389410041087e+04       1.408929862755e-10       1.370160654058e+18       2.713650440467e-09       2.604125846403e+44       2.614254445405e+33       1.307127222703e+34       3.815924225345e-08       1.797904748912e+44       4.402030595472e+44
       9.792906056653e+13       7.881852295304e-26       4.733010428026e-09       2.069033808735e+22       1.389410041087e+04       1.418792371794e-10       1.360636200654e+18       2.732645993551e-09       2.532468696478e+44       2.560114819204e+33       1.280057409602e+34       3.815924225345e-08       1.748432205055e+44       4.280900901687e+44
       9.724832231036e+13       7.992584438201e-26       4.765752237290e-09       2.040368669300e+22       1.389410041087e+04       1.428723918396e-10       1.351177954969e+18       2.751774515505e-09       2.462783320360e+44       2.507096391871e+33       1.253548195936e+34       3.815924225345e-08       1.700320986150e+44       4.163104306660e+44
       9.657231609767e+13       8.104872256973e-26       4.800313035958e-09       2.012100667029e+22       1.389410041087e+04       1.438724985825e-10       1.341785456772e+18       2.771036937114e-09       2.395015461189e+44       2.455175944057e+33       1.227587972028e+34       3.815924225345e-08       1.653533632922e+44       4.048549094259e+44
       9.590100903443e+13       8.218737607311e-26       4.833054845221e-09       1.984224299841e+22       1.389410041087e+04       1.448796060726e-10       1.332458249028e+18       2.790434195673e-09       2.329112355080e+44       2.404330737270e+33       1.202165368635e+34       3.815924225345e-08       1.608033716854e+44       3.937146072079e+44
       9.523436845525e+13       8.334202651956e-26       4.867615643889e-09       1.956734141882e+22       1.389410041087e+04       1.458937633151e-10       1.323195877883e+18       2.809967235043e-09       2.265022690039e+44       2.354538503921e+33       1.177269251961e+34       3.815924225345e-08       1.563785811826e+44       3.828808502006e+44
       9.457236192179e+13       8.451289865014e-26       4.900357453153e-09       1.929624842470e+22       1.389410041087e+04       1.469150196583e-10       1.313997892635e+18       2.829637005688e-09       2.202696566012e+44       2.305777437567e+33       1.152888718784e+34       3.815924225345e-08       1.520755466528e+44       3.723452032678e+44
       9.391495722125e+13       8.570022036327e-26       4.934918251820e-09       1.902891125054e+22       1.389410041087e+04       1.479434247959e-10       1.304863845715e+18       2.849444464728e-09       2.142085456034e+44       2.258026183365e+33       1.129013091682e+34       3.815924225345e-08       1.478909177642e+44       3.620994633811e+44
       9.326212236469e+13       8.690422275915e-26       4.969479050487e-09       1.876527786187e+22       1.389410041087e+04       1.489790287695e-10       1.295793292666e+18       2.869390575981e-09       2.083142168447e+44       2.211263828715e+33       1.105631914358e+34       3.815924225345e-08       1.438214363750e+44       3.521356532330e+44
       9.261382558559e+13       8.812514018470e-26       5.004039849155e-09       1.850529694509e+22       1.389410041087e+04       1.500218819709e-10       1.286785792121e+18       2.889476310013e-09       2.025820810155e+44       2.165469894108e+33       1.082734947054e+34       3.815924225345e-08       1.398639339974e+44       3.424460150258e+44
       9.197003533823e+13       8.936321027915e-26       5.040419637226e-09       1.824891789755e+22       1.389410041087e+04       1.510720351447e-10       1.277840905781e+18       2.909702644183e-09       1.970076750890e+44       2.120624324151e+33       1.060312162076e+34       3.815924225345e-08       1.360153293297e+44       3.330230044314e+44
       9.133072029615e+13       9.061867402036e-26       5.074980435893e-09       1.799609081765e+22       1.389410041087e+04       1.521295393907e-10       1.268958198392e+18       2.930070562692e-09       1.915866588467e+44       2.076707478787e+33       1.038353739393e+34       3.815924225345e-08       1.322726258581e+44       3.238592847172e+44
       9.069584935070e+13       9.189177577167e-26       5.111360223964e-09       1.774676649516e+22       1.389410041087e+04       1.531944461664e-10       1.260137237728e+18       2.950581056631e-09       1.863148114988e+44       2.033700124691e+33       1.016850062345e+34       3.815924225345e-08       1.286329095228e+44       3.149477210339e+44
       9.006539160943e+13       9.318276332948e-26       5.145921022631e-09       1.750089640162e+22       1.389410041087e+04       1.542668072896e-10       1.251377594566e+18       2.971235124027e-09       1.811880283983e+44       1.991583426850e+33       9.957917134251e+33       3.815924225345e-08       1.250933464499e+44       3.062813748602e+44
       8.943931639467e+13       9.449188797150e-26       5.182300810702e-09       1.725843268089e+22       1.389410041087e+04       1.553466749406e-10       1.242678842667e+18       2.992033769895e-09       1.762023178446e+44       1.950338940313e+33       9.751694701566e+33       3.815924225345e-08       1.216511807445e+44       2.978534986008e+44
       8.881759324197e+13       9.581940450561e-26       5.218680598773e-09       1.701932813985e+22       1.389410041087e+04       1.564341016652e-10       1.234040558756e+18       3.012978006284e-09       1.713537979758e+44       1.909948602112e+33       9.549743010559e+33       3.815924225345e-08       1.183037323447e+44       2.896575303320e+44
